machine_id,cycle,timestamp,spindle_speed_rpm,torque_nm,motor_current_a,vibration_x,vibration_y,vibration_z,temperature_c,cutting_force_n,acoustic_emission,tool_wear_percent,tool_age_hours,rul_hours,anomaly_score,failure_probability,health_score,failure,status
CNC-001,0,2025-01-01 00:00:00.000000000,3684.94,71.12,24.124,1.0014,0.9568,0.7114,58.242,716.876,36.131,0.0,0.0,1096.47,0.28596,0.3836,71.437,0,HEALTHY
CNC-001,1,2025-01-01 01:05:47.293649915,3651.259,70.665,24.431,0.8617,1.2074,1.149,57.862,718.764,39.586,1.404,1.096,1095.374,0.28324,0.41356,69.201,0,AT_RISK
CNC-001,2,2025-01-01 02:11:34.587299831,3655.081,72.21,24.319,1.0837,1.0222,1.1691,59.933,723.959,36.931,0.0,2.193,1094.278,0.27067,0.41434,69.423,0,AT_RISK
CNC-001,3,2025-01-01 03:17:21.880949747,3650.621,70.296,23.38,0.7347,0.7002,0.9776,58.392,703.599,33.494,0.0,3.289,1093.181,0.27237,0.38648,71.162,0,HEALTHY
CNC-001,4,2025-01-01 04:23:09.174599663,3650.07,73.684,22.886,1.2965,1.3822,1.2139,59.894,737.904,38.221,1.251,4.386,1092.085,0.32107,0.40247,69.661,0,AT_RISK
CNC-001,5,2025-01-01 05:28:56.468249579,3611.965,68.55,22.602,1.142,0.9641,0.849,59.21,672.598,38.855,0.0,5.482,1090.988,0.30142,0.37316,72.18,0,HEALTHY
CNC-001,6,2025-01-01 06:34:43.761899495,3760.692,69.324,24.779,0.7175,0.7949,0.8683,60.938,693.086,33.244,0.0,6.579,1089.892,0.25444,0.41031,70.082,0,HEALTHY
CNC-001,7,2025-01-01 07:40:31.055549411,3507.475,69.404,24.548,1.0933,1.0031,0.8259,58.97,712.828,37.206,0.0,7.675,1088.795,0.30304,0.3975,70.644,0,HEALTHY
CNC-001,8,2025-01-01 08:46:18.349199327,3653.416,73.71,23.888,0.5198,1.2575,0.7993,61.283,742.597,36.172,0.0,8.772,1087.699,0.28881,0.39612,70.566,0,HEALTHY
CNC-001,9,2025-01-01 09:52:05.642849243,3617.142,72.765,24.391,0.7838,0.9158,0.8545,60.021,739.27,37.111,0.0,9.868,1086.602,0.29689,0.40075,70.288,0,HEALTHY
CNC-001,10,2025-01-01 10:57:52.936499159,3714.61,73.544,23.2,0.5519,0.8088,0.7951,60.277,747.861,34.636,0.0,10.965,1085.506,0.26172,0.38274,71.234,0,HEALTHY
CNC-001,11,2025-01-01 12:03:40.230149074,3656.139,74.4,23.444,1.0507,0.9861,1.103,58.734,739.094,42.061,0.0,12.061,1084.409,0.31529,0.39453,70.41,0,HEALTHY
CNC-001,12,2025-01-01 13:09:27.523798990,3626.072,75.025,22.974,1.0248,1.1499,0.7957,59.046,733.526,41.266,0.0,13.158,1083.313,0.26114,0.37507,71.723,0,HEALTHY
CNC-001,13,2025-01-01 14:15:14.817448906,3702.379,75.526,23.702,0.944,1.1448,1.1296,60.387,751.924,34.59,0.648,14.254,1082.216,0.32899,0.40877,69.435,0,AT_RISK
CNC-001,14,2025-01-01 15:21:02.111098822,3771.381,71.753,23.568,0.7757,1.0221,1.1964,59.899,721.468,36.702,0.0,15.351,1081.12,0.26014,0.40512,69.903,0,AT_RISK
CNC-001,15,2025-01-01 16:26:49.404748738,3639.528,73.447,23.814,1.0819,1.1165,0.9564,61.584,737.717,34.852,0.0,16.447,1080.023,0.33311,0.40367,70.079,0,HEALTHY
CNC-001,16,2025-01-01 17:32:36.698398654,3792.757,72.49,24.551,0.6787,1.1995,0.9489,57.699,734.084,31.141,1.235,17.544,1078.927,0.23953,0.40427,69.782,0,AT_RISK
CNC-001,17,2025-01-01 18:38:23.992048570,3707.709,74.678,24.512,1.1892,1.1635,0.9324,59.078,744.724,37.099,0.268,18.64,1077.83,0.25918,0.40372,69.97,0,AT_RISK
CNC-001,18,2025-01-01 19:44:11.285698486,3663.753,73.174,23.978,0.4885,0.8757,0.9408,59.1,734.028,37.134,0.28,19.736,1076.734,0.3217,0.39692,70.389,0,HEALTHY
CNC-001,19,2025-01-01 20:49:58.579348402,3649.982,69.073,22.209,1.0327,1.229,1.2743,58.227,688.514,37.356,0.285,20.833,1075.638,0.3415,0.38514,71.037,0,HEALTHY
CNC-001,20,2025-01-01 21:55:45.872998318,3782.578,72.944,24.633,1.1227,1.0639,0.7604,58.886,741.416,38.576,0.087,21.929,1074.541,0.26632,0.39568,70.587,0,HEALTHY
CNC-001,21,2025-01-01 23:01:33.166648234,3554.927,75.751,24.72,0.9175,1.0682,0.5316,58.691,768.182,38.583,0.0,23.026,1073.445,0.2727,0.38501,71.174,0,HEALTHY
CNC-001,22,2025-01-02 00:07:20.460298149,3733.939,71.979,22.266,0.9475,1.1049,1.1939,57.623,718.812,36.21,0.011,24.122,1072.348,0.25738,0.37861,71.301,0,HEALTHY
CNC-001,23,2025-01-02 01:13:07.753948065,3732.611,72.122,25.318,0.9121,0.9656,0.8937,58.372,717.24,31.999,0.654,25.219,1071.252,0.2843,0.4121,69.65,0,AT_RISK
CNC-001,24,2025-01-02 02:18:55.047597981,3522.607,72.455,23.699,1.0573,1.2524,1.1505,58.575,718.794,38.181,0.178,26.315,1070.155,0.2793,0.40048,70.151,0,HEALTHY
CNC-001,25,2025-01-02 03:24:42.341247897,3850.703,71.979,23.095,0.5721,1.1848,0.7817,59.286,727.541,33.021,0.0,27.412,1069.059,0.27115,0.37696,71.674,0,HEALTHY
CNC-001,26,2025-01-02 04:30:29.634897813,3514.653,71.346,22.995,0.988,1.0677,0.8233,58.688,708.794,35.642,2.02,28.508,1067.962,0.27854,0.38462,70.93,0,HEALTHY
CNC-001,27,2025-01-02 05:36:16.928547729,3762.612,74.437,23.294,1.0095,1.4871,1.2229,58.926,758.024,35.767,1.325,29.605,1066.866,0.28,0.4051,69.36,0,AT_RISK
