machine_id,industry,component_type,machining_operation,workpiece_material,cycle,timestamp,spindle_speed_rpm,spindle_current_a,torque_nm,vibration_x,vibration_y,vibration_z,temperature_c,coolant_pressure_bar,cutting_force_n,acoustic_emission,tool_wear_percent,tool_age_hours,rul_hours,anomaly_score,failure_probability,health_score,failure,status,maintenance_recommendation
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,0,2025-01-01 00:00:00.000000000,3744.259,26.479,58.29,0.6514,0.5008,0.7033,59.612,4.837,491.405,27.052,0.311,0.0,882.109,0.14297,0.21817,86.494,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,1,2025-01-01 00:54:47.920029313,3686.75,26.461,56.994,0.5733,0.601,0.7624,60.945,4.889,495.212,24.762,0.0,0.913,875.054,0.15132,0.25111,84.193,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,2,2025-01-01 01:49:35.840058626,3648.503,25.83,53.804,0.5747,0.6136,0.7436,61.173,4.888,454.449,24.498,0.0,1.827,875.399,0.11847,0.23128,87.242,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,3,2025-01-01 02:44:23.760087940,3597.206,26.559,59.036,0.7744,0.4391,0.6307,59.859,4.816,499.552,27.067,0.0,2.74,861.488,0.14321,0.21758,86.261,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,4,2025-01-01 03:39:11.680117253,3622.52,26.877,54.827,0.6908,0.5301,0.8963,59.835,4.904,466.564,30.209,0.776,3.653,878.831,0.14841,0.22646,85.723,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,5,2025-01-01 04:33:59.600146567,3628.552,27.148,58.267,0.4881,0.4925,0.4724,59.678,4.865,503.142,26.132,1.449,4.567,877.256,0.13447,0.19635,85.34,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,6,2025-01-01 05:28:47.520175880,3669.359,26.096,54.016,0.5244,0.6694,0.7512,58.949,4.769,453.96,26.11,0.481,5.48,879.394,0.12278,0.20527,85.97,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,7,2025-01-01 06:23:35.440205194,3664.883,25.987,55.512,0.5308,0.795,0.7068,59.172,4.829,471.289,25.663,0.0,6.393,878.128,0.1479,0.19322,86.182,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,8,2025-01-01 07:18:23.360234507,3564.994,26.877,54.807,0.8151,0.5736,0.7718,59.956,5.058,471.457,25.927,0.0,7.306,861.54,0.12105,0.21618,84.982,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,9,2025-01-01 08:13:11.280263821,3638.379,27.103,55.472,0.7387,0.5977,0.8802,59.792,4.743,479.13,27.29,0.0,8.22,858.165,0.1484,0.20363,84.066,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,10,2025-01-01 09:07:59.200293134,3752.305,26.57,55.164,0.5954,0.5589,0.6422,59.078,4.813,465.013,26.668,1.089,9.133,868.74,0.1394,0.19151,85.763,0,HEALTHY,Continue production; routine monitoring
AUTO-CNC-001,Automotive Manufacturing,Engine Block,Boring,Aluminum Alloy,11,2025-01-01 10:02:47.120322447,3687.842,26.393,55.789,0.7342,0.4394,0.7769,59.254,4.855,470.624,23.104,0.934,10.046,855.099,0.1462,0.20925,84.973,0,HEALTHY,Continue production; routine monitoring
